filename,num,budgets,commitments,disbursements,currency,h1,h2,h3,h4,budgets_avg,commitments_avg,disbursements_avg,budgets_avg_h1,commitments_avg_h1,disbursements_avg_h1,conversion
data/GH-44000.xml,24,0.0,1947024352.0,845027374.0,USD,24,0,0,0,0.0,81126014.66666667,35209473.916666664,0.0,81126014.66666667,35209473.916666664,1
data/GH-US.xml,1450,0.0,154804265.66999993,177289249.89000005,USD,8,19,1423,0,0.0,106761.56253103443,122268.44820000003,0.0,19350533.20874999,22161156.236250006,1
data/GH-46002.xml,94,0.0,1708292667.9500003,1202272964.0500002,XDR,94,0,0,0,0.0,18173326.254787236,12790137.915425533,0.0,18173326.254787236,12790137.915425533,1.50154
data/GH-DE-1.xml,77,0.0,355304445.0,264896317.0,EUR,77,0,0,0,0.0,4614343.441558441,3440211.909090909,0.0,4614343.441558441,3440211.909090909,1.28987
data/GH-GB-1.xml,225,814770241.0,814770330.0,628600077.0,GBP,61,164,0,0,3621201.071111111,3621201.466666667,2793778.12,13356889.196721312,13356890.655737706,10304919.295081967,1.60971
data/GH-DK-1.xml,590,0.0,3202785892.0,2777523260.0,DKK,479,111,0,0,0.0,5428450.664406779,4707666.542372881,0.0,6686400.609603341,5798587.181628392,0.173259
data/GH-EU.xml,133,150373339.0,150373339.0,42929909.0,EUR,0,0,0,0,1130626.6090225563,1130626.6090225563,322781.2706766917,1130626.6090225563,1130626.6090225563,322781.2706766917,1.28987
data/GH-NL-1.xml,68,400692556.0,380729199.0,259036889.0,EUR,68,0,0,0,5892537.588235294,5598958.80882353,3809366.0147058824,5892537.588235294,5598958.80882353,3809366.0147058824,1.28987
data/GH-XM-DAC-701-8.xml,201,0.0,4512852658.631998,9088506180.0,JPY,0,0,0,0,0.0,22452003.27677611,45216448.65671642,0.0,22452003.27677611,45216448.65671642,0.00943802
data/GH-CA-3.xml,109,0.0,1276417968.0,0.0,CAD,109,0,0,0,0.0,11710256.587155964,0.0,0.0,11710256.587155964,0.0,0.910902
data/GH-47122.xml,45,206773893.0,227491789.0,194507212.0,USD,45,0,0,0,4594975.4,5055373.088888889,4322382.488888889,4594975.4,5055373.088888889,4322382.488888889,1
data/GH-47045.xml,16,717386446.0,1968195396.0,529106483.0,USD,16,0,0,0,44836652.875,123012212.25,33069155.1875,44836652.875,123012212.25,33069155.1875,1
data/GH-DAC-1601.xml,127,103443025.96000001,683616862.1306,717959094.1790999,USD,0,0,0,0,814512.015433071,5382809.93803622,5653221.214008661,814512.015433071,5382809.93803622,5653221.214008661,1
data/GH-41122.xml,41,164685105.0,79707322.0,44075435.0,USD,41,0,0,0,4016709.8780487804,1944081.024390244,1075010.6097560977,4016709.8780487804,1944081.024390244,1075010.6097560977,1
data/GH-FI-3.xml,20,0.0,12696343.0,1398626.02,EUR,6,0,0,0,0.0,634817.15,69931.301,0.0,2116057.1666666665,233104.33666666667,1.28987
data/GH-41114.xml,69,40983996.0,10535145.0,44661798.0,USD,34,35,0,0,593970.9565217391,152683.26086956522,647272.4347826086,1205411.6470588236,309857.20588235295,1313582.294117647,1
data/GH-41119.xml,42,20153210.0,0.0,6717620.0,USD,2,13,27,0,479838.3333333333,0.0,159943.33333333334,10076605.0,0.0,3358810.0,1
data/GH-AU-5.xml,33,0.0,0.0,19369123.0,AUD,33,0,0,0,0.0,0.0,586943.1212121212,0.0,0.0,586943.1212121212,0.928075
data/GH-ES-5.xml,81,-1832712.5499999998,3140550.0,3026118.4499999997,eur,65,0,0,0,-22626.080864197527,38772.22222222222,37359.48703703703,-28195.57769230769,48316.153846153844,46555.66846153846,1.28987
data/GH-NZ-1.xml,2,0.0,0.0,266728.0,NZD,0,2,0,0,0.0,0.0,133364.0,0.0,0.0,133364.0,0.828119
data/GH-SE-0.xml,228,17293317.721066993,18835266.158064015,18254193.362411994,USD,0,228,0,0,75847.88474152189,82610.8164827369,80062.25158952629,75847.88474152189,82610.8164827369,80062.25158952629,1
